playerID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,Debut_Year,Final_Year,retroID,bbrefID
hoffch01,1891,5,8,USA,NY,Ossining,1998,9,17,USA,FL,Daytona Beach,Red,Hoff,Chester Cornelius,162,69,L,L,1911,1915,hoffr102,hoffre01
otisbi01,1889,12,24,USA,MA,Scituate,1990,12,15,USA,MN,Duluth,Bill,Otis,Paul Franklin,150,70,L,R,1912,1912,otisb101,otisbi01
kantler01,1892,7,31,USA,CA,San Jose,1990,2,3,USA,CA,Santa Barbara,Erv,Kantlehner,Erving Leslie,190,72,L,L,1914,1916,kante101,kantler01
thompsh01,1893,4,29,USA,NC,Haw River,1990,1,7,USA,NC,Black Mountain,Shag,Thompson,James Alfred,165,68,L,R,1914,1916,thoms101,thompsh01
hillca01,1895,10,1,USA,MN,Royalton,1990,1,1,USA,IN,Indianapolis,Carmen,Hill,Carmen Proctor,180,73,R,R,1915,1930,hillc102,hillca01
wrighbo01,1891,12,13,USA,IN,Decatur County,1993,7,30,USA,CA,Carmichael,Bob,Wright,Robert Cassius,175,73,R,R,1915,1915,wrigb101,wrighbo01
anderwa01,1897,9,25,USA,MI,Grand Rapids,1990,1,6,USA,MI,Battle Creek,Walter,Anderson,Walter Carl,160,74,L,L,1917,1919,andew102,anderwa01
cooneji02,1894,8,24,USA,RI,Cranston,1991,8,7,USA,RI,Warwick,Jimmy,Cooney,James Edward,160,71,R,R,1917,1928,coonj103,cooneji02
gilled01,1895,8,7,USA,MA,Somerville,1995,10,10,USA,MA,Brockton,Ed,Gill,Edward James,165,70,L,R,1919,1919,gille101,gilled01
zinnji01,1895,1,21,USA,AR,Benton,1991,2,26,USA,TN,Memphis,Jimmy,Zinn,James Edward,195,72,L,R,1919,1929,zinnj101,zinnji01
smithpa02,1894,5,16,USA,NY,Pelham,1990,12,2,USA,NY,New Rochelle,Paddy,Smith,Lawrence Patrick,195,72,L,R,1920,1920,smitp105,smithpa02
kellybi03,1898,12,28,USA,NY,Syracuse,1990,4,8,USA,NY,Syracuse,Bill,Kelly,William Henry,190,72,R,R,1920,1928,kellb102,kellybi03
seweljo01,1898,10,9,USA,AL,Titus,1990,3,6,USA,AL,Mobile,Joe,Sewell,Joseph Wheeler,155,66,L,R,1920,1933,sewej101,seweljo01
gleasjo01,1895,7,9,USA,NY,Phelps,1990,9,8,USA,NY,Phelps,Joe,Gleason,Joseph Paul,175,70,R,R,1920,1922,gleaj101,gleasjo01
conkwal01,1896,12,4,USA,MO,Sedalia,1991,7,30,USA,CA,La Mesa,Allen,Conkwright,Allen Howard,170,70,R,R,1920,1920,conka101,conkwal01
veddelo01,1897,4,20,USA,MI,Oakville,1990,3,9,USA,FL,Lake Placid,Lou,Vedder,Louis Edward,175,70,R,R,1920,1920,veddl101,veddelo01
weisbu01,1901,3,2,USA,MO,St. Louis,1997,5,4,USA,MO,St. Louis,Butch,Weis,Arthur John,180,71,L,L,1922,1925,weisb102,weisbu01
hausejo01,1899,1,12,USA,WI,Milwaukee,1997,7,11,USA,WI,Sheboygan,Joe,Hauser,Joseph John,175,70,L,L,1922,1929,hausj101,hausejo01
schneka01,1899,9,20,USA,CA,Los Angeles,1992,5,31,USA,CA,Palo Alto,Karl,Schnell,Karl Otto,176,73,R,R,1922,1923,schnk101,schneka01
hollibo01,1895,12,26,USA,TN,Jacksboro,1990,1,4,USA,TN,Knoxville,Bonnie,Hollingsworth,John Burnette,170,70,R,R,1922,1928,hollb102,hollibo01
turklu01,1898,5,2,USA,GA,Homer,1994,1,11,USA,GA,Homer,Lucas,Turk,Lucas Newton,165,72,R,R,1922,1922,turkl101,turklu01
mcnamti01,1898,11,20,USA,MA,Millville,1994,11,5,USA,RI,North Smithfield,Tim,McNamara,Timothy Augustine,170,71,R,R,1922,1926,mcnat101,mcnamti01
merewar01,1902,7,7,USA,RI,East Providence,1997,2,2,USA,NY,Bayside,Art,Merewether,Arthur Francis,155,69,R,R,1922,1922,merea101,merewar01
kahdoik01,1899,10,22,USA,OK,Georgetown,1999,3,31,USA,OK,Oklahoma City,Ike,Kahdot,Isaac Leonard,145,65,R,R,1922,1922,kahdi101,kahdoik01
mcnamge01,1901,1,11,USA,IL,Chicago,1990,6,12,USA,IL,Hinsdale,George,McNamara,George Francis,175,72,L,R,1922,1922,mcnag101,mcnamge01
fishesh01,1899,1,16,USA,IA,Wesley,1994,5,15,USA,MN,St. Cloud,Showboat,Fisher,George Aloys,170,70,L,R,1923,1932,fishs101,fishesh01
kerrjo01,1898,11,26,USA,CA,San Francisco,1993,10,19,USA,CA,Long Beach,John,Kerr,John Francis,158,68,R,R,1923,1934,kerrj102,kerrjo01
shanewa01,1900,5,24,USA,VA,Lynchburg,1992,11,13,USA,NV,Las Vegas,Wally,Shaner,Walter Dedaker,195,74,R,R,1923,1929,shanw103,shanewa01
rowlach01,1899,7,23,USA,NC,Warrenton,1992,1,21,USA,NC,Raleigh,Chuck,Rowland,Charlie Leland,185,73,R,R,1923,1923,rowlc101,rowlach01
rosenlo01,1904,3,5,USA,CA,San Francisco,1991,9,8,USA,CA,San Francisco,Lou,Rosenberg,Louis,155,67,R,R,1923,1923,rosel102,rosenlo01
woehran01,1896,2,4,USA,IN,Fort Wayne,1990,7,24,USA,IN,Fort Wayne,Andy,Woehr,Andrew Emil,165,71,R,R,1923,1924,woeha101,woehran01
gastomi01,1896,1,27,USA,NJ,Ridgefield Park,1996,4,26,USA,MA,Barnstable,Milt,Gaston,Nathaniel Milton,185,73,R,R,1924,1934,gastm101,gastomi01
